"Beta1","Beta2","Beta3","Beta4","Beta5","Beta6","Beta7","Beta8","method","seed"
-2.05368325,1.0641535,0.82688732,0.43369629,0.21281731,0.10229428,-0.05979829,0.02230719,"FedAvg",18
-2.05667612,1.06792915,0.81252948,0.45089179,0.23381605,0.10778013,-0.05711872,0.03457079,"q-FedAvg",18
-2.03487775,1.03443323,0.82371091,0.44274386,0.22246907,0.11091497,-0.07448705,0.0113147,"FedAvgM",18
-2.07018082,1.03999216,0.82890578,0.44968897,0.20440374,0.09593127,-0.07932438,0.02331315,"FedProx (μ=0)",18
-1.86101835,1.14413193,0.86822015,0.33180049,0.49291681,0.0616682,-0.01466289,-0.0306164,"Local1",19
-2.09769287,1.01608323,0.98505687,0.43492291,0.20203273,0.32634098,0.09767828,-0.10445673,"Local2",19
-2.08881905,0.97443307,0.89238359,0.3675748,0.29839433,0.07620693,0.02126534,0.10082457,"Local3",19
-2.05881147057004,1.01057580771481,0.915409748846258,0.381706498986497,0.29865137148095,0.145596841256681,0.0379650040964847,0.0233954871682519,"Meta",19
-2.017334350401,1.078021522764,0.799505905516,0.45030301841,0.161961747081,0.031869327221,-0.016917350203,0.010337034602,"GLORE",19
-1.99989805,1.03907008,0.823018761,0.421221004,0.20120324,0.0621779661,0.0008245437,0.0137500889,"FedAvg",19
-1.95883614,1.01803863,0.79677906,0.41806806,0.24565091,0.08453666,0.01031899,0.01068837,"q-FedAvg",19
-1.99955103,1.03870539,0.822852069,0.421177194,0.201615392,0.0622603,0.001111133,0.013838557,"FedAvgM",19
-2.03890702,1.09085897,0.81651433,0.45106035,0.16926604,0.03547938,-0.01395959,0.00917118,"FedProx (μ=0)",19
-1.930370491,0.798648337,1.071205372,0.208816452,0.071982594,-0.002566037,-0.076658483,-0.004513002,"Local1",2
-1.9467751,0.77675113,0.73454756,0.4115097,0.35404514,0.14182767,-0.01840702,0.07498387,"Local2",2
-2.03514134,1.02521981,0.79219517,0.60604262,0.21542636,0.09655667,0.0126566,-0.04201051,"Local3",2
-1.99492657885869,0.921861402530645,0.815583022133582,0.49371519030956,0.234539758777777,0.0953308551788679,-0.00897801712366927,-0.00322675500881251,"Meta",2
-2.043870908538,1.030743346915,0.822287795039,0.447666724989,0.199398488463,0.119358225438,-0.005363864488,0.049290603867,"GLORE",2
-1.99162263,0.98090751,0.80521795,0.4528288,0.20680917,0.10932782,-0.00677078,0.03497838,"FedAvg",2
-1.97090426,0.93547425,0.82942517,0.4262438,0.20288678,0.10118701,-0.01736113,0.02540784,"q-FedAvg",2
-1.9912055,0.98032574,0.80511831,0.45282302,0.2068389,0.10917984,-0.00660364,0.03477973,"FedAvgM",2
-2.02572356,1.02524241,0.81763051,0.44333609,0.19908175,0.11853128,-0.00505865,0.05284858,"FedProx (μ=0)",2
-1.7580687,1.2464201,1.0059534,0.4601793,0.2283959,0.2601058,0.2092237,0.233404,"Local1",20
-2.23654038,1.222737928,0.891621117,0.438233311,0.499358854,-0.074951204,-0.006222151,0.007735816,"Local2",20
-1.964379383,1.051581779,0.719182159,0.355277532,0.259662505,0.022972381,0.078855466,0.003066126,"Local3",20
-2.01266671051115,1.1283175814965,0.809417747453831,0.393965148031782,0.323680520446952,0.0288704114446303,0.073171605309521,0.0373057289209536,"Meta",20
-2.069187936883,1.010032866306,0.768837865294,0.398154946709,0.192705464693,0.115691607488,0.0069990816,0.071876494726,"GLORE",20
-2.0140596,1.02311435,0.76479567,0.38853398,0.22771982,0.08718846,0.02716834,0.05864496,"FedAvg",20
-1.96658505,1.0672173,0.79306033,0.38992297,0.26308798,0.08348144,0.04945394,0.08961165,"q-FedAvg",20
-2.01467361,1.02185524,0.76425202,0.38820892,0.22688025,0.08644736,0.02630023,0.05750583,"FedAvgM",20
-2.06552199,1.00698912,0.77050226,0.39793839,0.19109083,0.11662513,0.00819299,0.06590214,"FedProx (μ=0)",20
-1.738893648,0.882610977,0.877875933,0.323581083,0.296047378,-0.007494654,0.221407943,0.237794912,"Local1",21
-2.15651356,0.94040185,0.80443354,0.27439995,0.13816891,-0.09898498,-0.10534589,-0.01546744,"Local2",21
-1.92486877,0.99916784,0.87578886,0.29920162,0.24059554,0.12314356,0.11649796,0.06706011,"Local3",21
-1.96448511810434,0.965726577672801,0.85569978059265,0.295598207168685,0.219252478495636,0.0410156618978142,0.068101144655902,0.0678714994482583,"Meta",21
-2.024104451905,1.014146002833,0.835497040691,0.42664982761,0.255719916741,0.095709165448,0.030195891446,-0.052209244782,"GLORE",21
-1.97304262,0.9848782,0.82765169,0.38190708,0.24093261,0.07467057,0.04123914,-0.01860376,"FedAvg",21
-1.94021825,0.95790266,0.82331126,0.36852396,0.24063587,0.034443,0.07050605,0.0118026,"q-FedAvg",21
-1.98235808,0.98887073,0.85430773,0.391357,0.24586605,0.044372,0.07359727,-0.0315542,"FedAvgM",21
-2.01754877,1.01666577,0.83422009,0.42176677,0.25502585,0.09454474,0.02868841,-0.05502007,"FedProx (μ=0)",21
-2.06155194,1.01051226,0.6770938,0.43971037,0.2035544,0.06858978,-0.0554194,0.26177747,"Local1",22
-2.05562661,1.09120981,0.85916434,0.39436823,0.352986,0.30042588,0.09106737,-0.11600672,"Local2",22
-2.16887449,1.27429715,0.70876991,0.51807142,0.16864979,0.3608297,0.0661179,0.03899081,"Local3",22
-2.1211861604599,1.18430292570552,0.747214590322123,0.471533214636072,0.226303651703987,0.301822901910281,0.0558838496727418,0.0265324690218884,"Meta",22
-2.057474328783,1.05542415661,0.763403641914,0.379564756482,0.168542627682,0.09493382211,-0.002837854341,-0.00202142814,"GLORE",22
-2.04291753,1.08001569,0.742345,0.39635956,0.18409288,0.15491672,0.01794907,0.0050744,"FedAvg",22
-2.02477835,1.0901717,0.7530845,0.39170878,0.20295983,0.16141255,0.02734176,0.02271198,"q-FedAvg",22
-2.05232166,1.13585085,0.78219236,0.40657904,0.19227308,0.20324627,0.07978067,0.01919802,"FedAvgM",22
-2.06584556,1.04501172,0.74641786,0.3707636,0.16299331,0.08547468,-0.00787504,-0.01095908,"FedProx (μ=0)",22
-1.750685106,0.761957747,0.688473343,0.563161153,0.373494992,0.217490101,0.005023911,0.067977676,"Local1",23
-2.2652743,1.2338655,0.9714994,0.4333178,0.3451666,0.3847716,0.1647636,0.1175578,"Local2",23
-2.02124565,1.12180978,0.77484847,0.36599096,0.16483179,0.16314964,-0.06569899,-0.13056432,"Local3",23
-2.05231662024286,1.10241827959117,0.818695141105708,0.413394365802174,0.246165043508325,0.234233116268918,0.0102507231472786,-0.031309142149623,"Meta",23
-1.933861649568,0.982215885723,0.76605425251,0.333938044473,0.235686088308,0.195353912042,0.024726882042,0.015692363022,"GLORE",23
-1.943461,1.002375,0.7690164,0.3491086,0.2270278,0.2011661,0.01937988,-2.370783e-05,"FedAvg",23
-1.94692288,0.98334692,0.76154749,0.3822653,0.25454571,0.21245814,0.01638047,0.01188664,"q-FedAvg",23
-2.02481814,1.0262198,0.78783872,0.37436825,0.21730518,0.21161014,0.00595899,-0.01823134,"FedAvgM",23
-1.92363325,0.98742449,0.77356523,0.33502548,0.24021547,0.19832415,0.03704232,0.02077112,"FedProx (μ=0)",23
-1.76885555,0.91470777,0.69552174,0.42689211,-0.01055516,-0.11695471,0.03138342,-0.01812061,"Local1",24
-2.083500211,0.908785568,0.780399434,0.511909317,0.287994013,-0.029344846,-0.003631507,-0.045365314,"Local2",24
-1.963848272,0.903812643,0.727929005,0.47223598,0.164328194,0.113967957,-0.045058277,-0.006127803,"Local3",24
-1.97017843741653,0.906789925898122,0.738290946323948,0.477093523690496,0.174677948448264,0.0400324891003762,-0.0223018146558436,-0.0190517780519883,"Meta",24
-2.011520339206,0.942891415835,0.788826258335,0.319831508111,0.21761843679,0.095500582371,-0.006656978616,-0.038656572851,"GLORE",24
-1.97292061,0.91683865,0.76661658,0.36006793,0.20140231,0.07784287,-0.01397519,-0.03071959,"FedAvg",24
-1.93043874,0.89838023,0.72253794,0.38361936,0.18371158,0.0550572,-0.01288732,-0.00819349,"q-FedAvg",24
-1.97301011,0.91692518,0.76658871,0.36007282,0.2013738,0.07780869,-0.01403445,-0.03077019,"FedAvgM",24
-2.03513002,0.9407583,0.79503577,0.31382258,0.21069208,0.08946917,-0.01540608,-0.04666848,"FedProx (μ=0)",24
-2.4780586,1.40617107,1.14232585,0.5286523,0.11805193,0.02981307,0.10205769,-0.03574047,"Local1",25
-2.31140952,1.11932849,0.86486976,0.56006471,0.34426861,0.13941254,-0.04090866,0.04759214,"Local2",25
-2.107283303,0.975448877,0.720314194,0.440754721,0.311804188,-0.005059855,0.151592181,-0.010954898,"Local3",25
-2.21857297887262,1.07808907931556,0.821903163947152,0.487400087031533,0.293400843268691,0.0411998187121687,0.0895155858504087,0.002232031701216,"Meta",25
-2.143847877366,1.047229454939,0.882626505686,0.430821110327,0.215203574172,0.070296935922,-0.023866208286,-0.051239874567,"GLORE",25
-2.12602708,1.03830135,0.85289071,0.43760098,0.23373368,0.06497076,0.00588205,-0.02985374,"FedAvg",25
-2.16707431,1.10240869,0.86996283,0.4446158,0.23232736,0.05981115,0.02039456,-0.02750514,"q-FedAvg",25
-2.12571152,1.03856175,0.85314755,0.43759248,0.2337574,0.06516698,0.00608724,-0.02961898,"FedAvgM",25
-2.12656549,1.04058049,0.88955864,0.43186545,0.21671174,0.07890728,-0.02393899,-0.03814253,"FedProx (μ=0)",25
-1.80608592,1.03938964,0.90236753,0.87863474,0.1808343,0.21276233,-0.05986659,-0.2400754,"Local1",26
-2.03920155,0.9851322,0.91745851,0.51106358,0.12341059,0.05596936,0.06680859,-0.14866097,"Local2",26
-2.08110816,0.96528504,0.71998969,0.40613997,0.2312713,-0.07621681,-0.03513923,-0.05269557,"Local3",26
-2.02984594928078,0.981542025975349,0.802463327624158,0.503617396522243,0.193248667742715,0.00283339714715405,-0.00954376466177933,-0.106882802770621,"Meta",26
